Fecha,General,Subyacente
1/13/2006,60.70205633,64.06666882
1/28/2006,60.69065912,64.14245299
2/12/2006,60.71552576,64.27498674
2/27/2006,60.82949786,64.44247074
3/14/2006,60.84503951,64.5713286
3/29/2006,60.87767697,64.58298831
4/13/2006,60.57979536,64.62032807
4/28/2006,60.60155367,64.70859778
5/13/2006,60.64610639,64.82026503
5/28/2006,60.64040779,64.89935433
6/12/2006,60.7771743,65.0011737
6/27/2006,60.84141312,65.05386474
7/12/2006,61.02169626,65.13657016
7/27/2006,61.21752104,65.14507526
8/11/2006,61.58482202,65.45157911
8/26/2006,61.88840224,65.54273705
9/10/2006,62.06298677,65.61641621
9/25/2006,61.95056884,65.68056764
10/10/2006,62.26761849,65.7667504
10/25/2006,62.39661418,65.87422529
11/9/2006,62.63750974,66.05860253
11/24/2006,62.7473374,66.10334259
12/9/2006,62.95455939,66.31651297
12/24/2006,63.07785648,66.45899169
1/8/2007,63.16696193,66.600846
1/23/2007,63.21824938,66.67970564
2/7/2007,63.26953682,66.77277727
2/22/2007,63.38920752,66.90053498
3/9/2007,63.25658545,66.92774545
3/24/2007,63.32600481,67.00421234
4/8/2007,63.00170239,67.06976602
4/23/2007,62.96336633,67.12709501
5/8/2007,63.01517182,67.23414711
5/23/2007,63.10168701,67.34620695
6/7/2007,63.25658545,67.46254427
6/22/2007,63.39542418,67.52656759
7/7/2007,63.52493793,67.64291757
7/22/2007,63.64357252,67.71147907
8/6/2007,64.03988458,67.96199617
8/21/2007,64.1155206,68.03982768
9/5/2007,64.32015232,68.16586677
9/20/2007,64.33413981,68.28163636
10/5/2007,64.74806574,68.36453876
10/20/2007,64.81437677,68.39241864
11/4/2007,64.9418183,68.598755
11/19/2007,65.15681112,68.68088727
12/4/2007,65.33502203,68.84767089
12/19/2007,65.36610533,69.02735292
1/3/2008,65.44847607,69.14104944
1/18/2008,65.64119252,69.32671569
2/2/2008,65.95461579,69.54503247
2/17/2008,66.08464759,69.59791868
3/3/2008,66.12350171,69.76454423
3/18/2008,66.21675161,69.92554777
4/2/2008,66.04164903,70.10152292
4/17/2008,66.15562112,70.25460124
5/2/2008,66.34419313,70.4334928
5/17/2008,66.40066113,70.58186354
6/1/2008,66.65502612,70.74562697
6/16/2008,66.82961065,70.83566697
7/1/2008,67.03579653,70.99568489
7/16/2008,67.21970605,71.1704026
7/31/2008,67.51396128,71.45570344
8/15/2008,67.65590835,71.54023073
8/30/2008,67.98539132,71.63947522
9/14/2008,68.10506202,71.76583379
9/29/2008,68.74796825,71.98097841
10/14/2008,68.88991531,72.07723228
10/29/2008,69.20282052,72.37689893
11/13/2008,69.3882842,72.50439532
11/28/2008,69.4918952,72.70068895
12/13/2008,69.42040361,72.81694874
12/28/2008,69.5390382,73.01752617
1/12/2009,69.67994916,73.17702147
1/27/2009,69.89546003,73.37419527
2/11/2009,70.12444033,73.57350261
2/26/2009,70.22442494,73.74273838
3/13/2009,70.28555543,73.82686405
3/28/2009,70.04465987,73.88995625
4/12/2009,70.05657513,73.97316858
4/27/2009,70.15086114,74.07762364
5/12/2009,70.20784719,74.15816393
5/27/2009,70.34875814,74.31252119
6/11/2009,70.3917567,74.37717838
6/26/2009,70.46946495,74.43907702
7/11/2009,70.60830369,74.47934917
7/26/2009,70.88649921,74.70390616
8/10/2009,70.89893253,74.80328661
8/25/2009,71.14449059,74.96939942
9/9/2009,71.06989067,75.02069845
9/24/2009,71.44340832,75.08532368
10/9/2009,71.5092013,75.12048035
10/24/2009,71.6910386,75.38114576
11/8/2009,71.8521537,75.52335348
11/23/2009,72.38989477,75.89452887
12/8/2009,72.71419719,76.14391503
12/23/2009,72.84681926,76.27021329
1/7/2010,73.09652176,76.39634668
1/22/2010,73.43066722,76.52624437
2/6/2010,73.54878376,76.67603287
2/21/2010,73.32239373,76.65356487
3/8/2010,73.18873555,76.71381215
3/23/2010,72.79501376,76.83708083
4/7/2010,72.79242349,76.88791876
4/22/2010,72.76082213,76.91077326
5/7/2010,72.78154433,77.02588099
5/22/2010,72.88929977,77.13363781
6/6/2010,72.96959829,77.12377278
6/21/2010,73.0846065,77.19090407
7/6/2010,73.17837445,77.21589646
7/21/2010,73.47314773,77.47139692
8/5/2010,73.55707264,77.49421883
8/20/2010,73.9119403,77.58626963
9/4/2010,74.0259124,77.6756202
9/19/2010,74.53049795,77.81888506
10/4/2010,74.5931826,77.81100579
10/19/2010,74.73720189,78.0484993
11/3/2010,75.12470701,78.25314707
11/18/2010,75.255424,78.41626823
12/3/2010,75.33655869,78.59995553
12/18/2010,75.49131558,78.77499844
1/2/2011,75.6656049,78.87317458
1/17/2011,75.70241601,79.0612737
2/1/2011,75.7437346,79.05745118
2/16/2011,75.67537112,79.09788606
3/3/2011,75.76026203,79.14008661
3/18/2011,75.19231925,79.19631633
4/2/2011,75.12545826,79.32339586
4/17/2011,75.08413967,79.35535824
5/2/2011,75.22612537,79.47109234
5/17/2011,75.46351944,79.58459365
6/1/2011,75.56944528,79.59867936
6/16/2011,75.63405253,79.66865837
7/1/2011,75.63705752,79.7053731
7/16/2011,75.79707314,79.87845969
7/31/2011,75.84440171,79.91945738
8/15/2011,76.30942364,80.08225127
8/30/2011,76.35675221,80.12989616
9/14/2011,77.09447683,80.32960987
9/29/2011,77.22218883,80.39955976
10/14/2011,77.61283731,80.67821414
10/29/2011,77.97193341,80.86432369
11/13/2011,78.21984494,81.02332134
11/28/2011,78.46625398,81.24304303
12/13/2011,78.52034377,81.45454173
12/28/2011,78.48353266,81.50181018
1/12/2012,78.52109502,81.63496989
1/27/2012,78.57293107,81.71961907
2/11/2012,78.24538734,81.74247425
2/26/2012,78.35582066,81.85815796
3/12/2012,77.98169962,81.97538326
3/27/2012,78.12593906,82.05977218
4/11/2012,78.31450207,82.14375248
4/26/2012,78.5128313,82.24552951
5/11/2012,78.81858886,82.41403822
5/26/2012,78.88920608,82.48722865
6/10/2012,78.99663441,82.61595994
6/25/2012,79.18444618,82.65530022
7/10/2012,79.38202416,82.75324983
7/25/2012,79.49621371,82.81060364
8/9/2012,79.85380732,82.94957931
8/24/2012,79.82751367,82.99136956
9/8/2012,80.45705872,83.13931857
9/23/2012,80.30906304,82.88744473
10/8/2012,80.52917844,83.10183379
10/23/2012,80.60730813,83.12563967
11/7/2012,80.7312639,83.27281208
11/22/2012,81.05354889,83.66016614
12/7/2012,81.24661939,83.86360084
12/22/2012,81.33601779,83.91891686
1/6/2013,81.75972114,84.13316624
1/21/2013,82.01514514,84.15414169
2/5/2013,81.93851794,84.19687713
2/20/2013,81.94452792,84.2251241
3/7/2013,81.66130777,84.34523957
3/22/2013,81.67633271,84.40928127
4/6/2013,81.63801911,84.46902451
4/21/2013,81.59970551,84.50212334
5/6/2013,81.59970551,84.53183973
5/21/2013,81.58392932,84.49669203
6/5/2013,81.79653224,84.58517792
6/20/2013,81.85212453,84.59609909
7/5/2013,82.12858345,84.85127339
7/20/2013,82.13684717,84.87803537
8/4/2013,82.46664463,84.99351602
8/19/2013,82.57933169,85.06184986
9/3/2013,83.2817477,85.15671458
9/18/2013,83.30203137,85.12861375
